cluster	n_cells	score_ISG_TypeI_IFN_mean	score_ISG_TypeI_IFN_median	score_Antigen_Presentation_mean	score_Antigen_Presentation_median	score_NFkB_Immediate_Early_mean	score_NFkB_Immediate_Early_median	score_ABC_like_Bcell_mean	score_ABC_like_Bcell_median
0	44802	0.009074626036584443	-0.031609070073990594	-0.1918382822780102	-0.20021600941816964	0.10211998742276039	0.08635963574804442	-0.2288625639579434	-0.23111390589072953
1	42204	0.029816015139257006	-0.026087287796868214	-0.12924529969009857	-0.1639321718613307	0.25647029540247485	0.25289252275684354	-0.22741979840870094	-0.2412547363485381
2	35958	0.05046906490478737	-0.0002783528963724857	1.2831234607363884	1.2599592288335164	0.383418912110106	0.36049469449647403	0.1092977857963943	0.1048148062715562
3	27789	0.04402356646248451	-0.034345764356946196	0.17852457846584624	0.12436580022176108	0.18880255745512772	0.17918703566381938	-0.17870607099786182	-0.20772452976392664
4	18534	-0.003426513509300449	-0.054354130881173274	2.2800622977318037	2.3239783032735186	0.178754061701604	0.15151891529474082	-0.15032148058894632	-0.1896586405792364
5	17509	-0.004134894826429281	-0.051877599595085006	-0.05299344209346452	-0.09071543693542483	0.15757753076209735	0.13052113644488444	0.0013171428019081108	0.001495050108153706
6	16680	-0.012263882260754715	-0.03859778112835354	-0.17876986951288654	-0.18864119986693065	0.07155434561173381	0.05146498803968555	-0.21870779972512489	-0.2293080231019087
7	11361	0.36194400899882356	0.12677488039410303	1.5653947226500962	1.5803181807200115	0.17774922077665145	0.15157789310163572	0.30136878159480995	0.30103287856315686
8	9739	0.012357907143943437	-0.04730157034737723	-0.03570888713887084	-0.11470818519592285	0.21612574056943382	0.16474304742799345	-0.14036267696803134	-0.16670676138887439
9	9497	-0.017354365227148567	-0.0427925055367606	-0.1355717802132144	-0.18972038269042968	0.16541388572013785	0.13869061098470314	-0.17549549544163193	-0.18202906069548233
10	8619	0.017012706759481813	-0.03454135470920139	-0.02796052296665929	-0.06009658654530842	0.33526292074667136	0.3300546842908102	-0.1963872188094387	-0.22220420199493102
11	5716	0.0529536946165564	-0.014596821807679683	1.0777744645097538	1.0295269997914631	0.3262128459388799	0.3162039585443802	0.022406330415678254	0.019106942275694788
12	5019	0.09491092576443111	0.02075148658146933	1.3552009532426612	1.3237145789464315	0.30395257138128634	0.23577858840920363	0.13918687210693936	0.133389863521359
13	4894	0.011946049809116403	-0.016934626935020326	-0.10996520046402009	-0.13614544292291006	-0.09393948060156913	-0.11932831168346761	-0.222360907350858	-0.24182611165636758
14	4838	0.03143988109843218	-0.0280616765741318	2.9127377745171166	2.941796310742696	0.07981157761546398	0.03420915266480107	0.05620354436372941	0.05358147214487641
15	4688	0.0752567281454335	0.006274992776295493	0.3462082474572802	0.237957927385966	0.004361605693956787	-0.01870072748065854	-0.21268391322893468	-0.23647808931942368
16	3040	0.014870428811133206	-0.03604564886244516	-0.03517425771917036	-0.08983651300271353	0.19427888176822036	0.18255442939967476	-0.18492475948093043	-0.2092777553509709
17	2519	0.13103186371766679	0.0910038191174704	1.7080397402785892	1.7474966017405191	-0.10227259321515757	-0.16101557145387063	0.0411527642660145	0.04145602390518954
18	1966	0.008566813075505301	-0.05058173687685103	1.688057677405452	1.7076197036107381	0.2784139693961766	0.2794702077152753	-0.19046138084251812	-0.2237642403231018
19	966	0.007438409956847102	-0.02705163453306471	0.5121866927058882	0.4590094188849131	-0.17547832298598326	-0.20211508418574475	-0.05933969082065211	-0.06912468867158411
20	871	1.2923625758542026	1.323659182351733	1.621941303997901	1.6059572474161783	0.9493991429309372	0.9702344566884666	0.23387109005629125	0.2325979066931683
21	805	-0.0004131130841454609	-0.03550978524344308	-0.05341552456812335	-0.1687555185953776	-0.0500637099193988	-0.14073785146077475	-0.058020768582978145	-0.1074433215087074
22	544	-0.04476279341301817	-0.07807665700004215	0.6897656989526735	0.6906250969568888	-0.11196252643127953	-0.1511608995228447	-0.24355393130756944	-0.2581219625313545
23	400	0.00030891447341631405	-0.022498952150344847	-0.07104676329096157	-0.11384191413720449	0.19827081999844975	0.18177807021450687	-0.12941404772751708	-0.15036594429143696
24	114	0.046299282400364405	-0.030292205810546875	0.9357481686553063	0.8905496342976889	0.04164720480932332	0.005351327026389213	0.007992224162616612	0.017851253058200706
